Mon May 30 14:42:21 2022    profile.prof

         882669 function calls (823570 primitive calls) in 4.464 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3108    3.261    0.001    3.263    0.001 {built-in method _pywrap_tensorflow_internal.TFE_Py_FastPathExecute}
     3214    0.123    0.000    0.123    0.000 {built-in method nt.stat}
       27    0.054    0.002    0.056    0.002 =\lib\site-packages\tensorflow_core\python\util\deprecation.py:555(deprecated_wrapper)
      771    0.049    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      769    0.041    0.000    0.041    0.000 {built-in method marshal.loads}
      140    0.035    0.000    0.035    0.000 {built-in method _pywrap_tensorflow_internal.TFE_Py_Execute}
    842/7    0.032    0.000    0.621    0.089 {built-in method builtins.exec}
      770    0.028    0.000    0.028    0.000 {method 'read' of '_io.FileIO' objects}
      209    0.016    0.000    0.016    0.000 {built-in method nt.listdir}
      176    0.015    0.000    0.126    0.001 =\lib\site-packages\tensorflow_core\python\framework\op_def_library.py:356(_apply_op_helper)
40456/21303    0.013    0.000    0.634    0.000 {built-in method builtins.hasattr}
88974/88813    0.013    0.000    0.016    0.000 {built-in method builtins.isinstance}
    49211    0.012    0.000    0.012    0.000 {built-in method builtins.getattr}
      209    0.012    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
       13    0.010    0.001    0.010    0.001 {built-in method _pywrap_tensorflow_internal.TF_LoadLibrary}
  2962/55    0.010    0.000    0.054    0.001 =\lib\site-packages\tensorflow_core\python\autograph\pyct\transformer.py:448(visit)
      164    0.009    0.000    2.850    0.017 =\lib\site-packages\tensorflow_core\python\ops\resource_variable_ops.py:1408(_init_from_args)
 3808/179    0.009    0.000    0.050    0.000 =\lib\ast.py:320(generic_visit)
        4    0.008    0.002    0.174    0.043 {built-in method _pywrap_tensorflow_internal.TFE_Py_TapeGradient}
        6    0.008    0.001    0.008    0.001 {built-in method _pywrap_tensorflow_internal.TFE_ContextAddFunction}
      372    0.008    0.000    0.015    0.000 =\lib\site-packages\tensorflow_core\python\util\decorator_utils.py:35(_normalize_docstring)
      168    0.008    0.000    0.019    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:2825(__init__)
  622/617    0.007    0.000    0.087    0.000 {built-in method builtins.__build_class__}
